frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
720	23.86	-	8.82	10.61	3.71	3.03	1.23	1.14	299.08		
721	23.89	-	8.75	10.61	3.77	2.94	1.28	1.17	301.11		
722	23.93	-	7.95	10.14	3.64	2.76	1.32	1.22	308.86		
723	23.96	-	8.57	10.53	3.77	2.85	1.32	1.27	317.99		
724	23.99	-	9.12	10.78	3.71	3.17	1.17	1.37	329.92		
725	24.03	-	8.86	10.65	3.72	3.11	1.19	1.30	334.85		
726	24.06	S	9.06	10.76	3.75	3.11	1.21	1.31	342.13		
727	24.09	-	8.51	10.44	3.68	2.96	1.24	1.30	339.80		
728	24.13	-	8.53	10.50	3.75	2.88	1.30	1.29	330.93		
729	24.16	-	8.77	10.59	3.73	3.01	1.24	1.27	318.15		
730	24.19	-	8.83	10.64	3.75	3.02	1.24	1.31	311.40		
731	24.23	-	9.43	10.96	3.78	3.21	1.18	1.25	309.32		
732	24.26	D	9.08	10.80	5.99	4.74	1.27	1.17	303.27		
733	24.29	-	9.20	10.88	3.87	3.00	1.29	1.22	301.85		
734	24.33	-	8.44	10.49	3.81	2.79	1.37	1.22	305.47		
735	24.36	-	8.56	10.50	3.75	2.92	1.29	1.26	317.15		
736	24.39	-	8.85	10.65	3.70	3.01	1.23	1.31	326.50		
737	24.43	-	9.27	10.88	3.79	3.12	1.22	1.38	338.16		
738	24.46	-	8.42	10.43	3.75	2.87	1.31	1.33	337.53		
739	24.49	S	8.88	10.69	3.77	2.98	1.25	1.30	341.18		
740	24.53	-	8.51	10.53	3.80	2.78	1.37	1.30	330.48		
741	24.56	-	8.60	10.49	3.70	2.97	1.25	1.24	322.71		
742	24.59	-	8.86	10.65	3.74	3.03	1.23	1.33	319.18		
